V_r,I_ub,I_b,I_φ
0.343,-0.038000000000000034,0.0013,-0.03670000000000003
0.34400000000000003,0.0050000000000000044,0.0013,0.006300000000000004
0.34500000000000003,-0.05399999999999999,0.0013,-0.05269999999999999
0.34600000000000003,-0.013999999999999957,0.0013,-0.012699999999999958
0.34700000000000003,-0.021999999999999964,0.0013,-0.020699999999999965
0.34800000000000003,-0.046999999999999986,0.0013,-0.045699999999999984
0.34900000000000003,-0.044999999999999984,0.0013,-0.04369999999999998
0.35000000000000003,0.02100000000000002,0.0013,0.022300000000000018
0.35100000000000003,-0.012999999999999956,0.0013,-0.011699999999999957
0.352,-0.05399999999999999,0.0013,-0.05269999999999999
0.353,-0.04799999999999999,0.0013,-0.046699999999999985
0.354,0.01100000000000001,0.0013,0.012300000000000009
0.355,0.0010000000000000009,0.0013,0.002300000000000001
0.356,0.0040000000000000036,0.0013,0.0053000000000000035
0.357,-0.063,0.0013,-0.0617
0.358,0.019000000000000017,0.0013,0.020300000000000016
0.359,-0.017000000000000015,0.0013,-0.015700000000000016
0.36,-0.04199999999999998,0.0013,-0.04069999999999998
0.361,-0.04199999999999998,0.0013,-0.04069999999999998
0.362,0.0050000000000000044,0.0013,0.006300000000000004
0.363,0.019000000000000017,0.0013,0.020300000000000016
0.364,0.01200000000000001,0.0013,0.01330000000000001
0.365,-0.023999999999999966,0.0013,-0.022699999999999967
0.366,-0.04099999999999998,0.0013,-0.03969999999999998
0.367,-0.008000000000000007,0.0013,-0.006700000000000007
0.368,0.0020000000000000018,0.0013,0.0033000000000000017
0.369,0.020000000000000018,0.0013,0.021300000000000017
0.37,-0.03699999999999998,0.0013,-0.035699999999999975
0.371,-0.034999999999999976,0.0013,-0.03369999999999997
0.372,0.0050000000000000044,0.0013,0.006300000000000004
0.373,-0.04899999999999999,0.0013,-0.047699999999999985
0.374,-0.05499999999999999,0.0013,-0.05369999999999999
0.375,0.014000000000000012,0.0013,0.015300000000000012
0.376,-0.05499999999999999,0.0013,-0.05369999999999999
0.377,-0.03699999999999998,0.0013,-0.035699999999999975
0.378,0.006000000000000005,0.0013,0.007300000000000005
0.379,-0.015000000000000013,0.0013,-0.013700000000000014
0.38,-0.03899999999999998,0.0013,-0.03769999999999998
0.381,0.009000000000000008,0.0013,0.010300000000000007
0.382,-0.045999999999999985,0.0013,-0.04469999999999998
0.383,0.016000000000000014,0.0013,0.017300000000000013
0.384,0.02100000000000002,0.0013,0.022300000000000018
0.385,0.006000000000000005,0.0013,0.007300000000000005
0.386,-0.0050000000000000044,0.0013,-0.0037000000000000045
0.387,0.014000000000000012,0.0013,0.015300000000000012
0.388,-0.05399999999999999,0.0013,-0.05269999999999999
0.389,0.022999999999999965,0.0013,0.024299999999999964
0.39,-0.0040000000000000036,0.0013,-0.0027000000000000036
0.391,0.0020000000000000018,0.0013,0.0033000000000000017
0.392,-0.03200000000000003,0.0013,-0.03070000000000003
0.393,-0.007000000000000006,0.0013,-0.005700000000000006
0.394,-0.0020000000000000018,0.0013,-0.0007000000000000018
0.395,-0.03700000000000003,0.0013,-0.03570000000000003
0.396,-0.055999999999999994,0.0013,-0.05469999999999999
0.397,-0.025000000000000022,0.0013,-0.023700000000000023
0.398,-0.02300000000000002,0.0013,-0.02170000000000002
0.399,-0.03300000000000003,0.0013,-0.03170000000000003
0.4,0.019999999999999962,0.0013,0.02129999999999996
0.401,0.009999999999999953,0.0013,0.011299999999999952
0.402,-0.017000000000000015,0.0013,-0.015700000000000016
0.403,-0.0050000000000000044,0.0013,-0.0037000000000000045
0.404,0.008999999999999952,0.0013,0.010299999999999952
0.405,-0.03700000000000003,0.0013,-0.03570000000000003
0.406,0.020999999999999963,0.0013,0.022299999999999962
0.40700000000000003,-0.014999999999999958,0.0013,-0.013699999999999959
0.40800000000000003,-0.033999999999999975,0.0013,-0.03269999999999997
0.40900000000000003,-0.011999999999999955,0.0013,-0.010699999999999956
0.41000000000000003,-0.046999999999999986,0.0013,-0.045699999999999984
0.41100000000000003,-0.043999999999999984,0.0013,-0.04269999999999998
0.41200000000000003,0.031000000000000028,0.0013,0.03230000000000003
0.41300000000000003,-0.05199999999999999,0.0013,-0.05069999999999999
0.41400000000000003,-0.020999999999999963,0.0013,-0.019699999999999964
0.41500000000000004,0.02100000000000002,0.0013,0.022300000000000018
0.41600000000000004,-0.02999999999999997,0.0013,-0.028699999999999972
0.417,0.015000000000000013,0.0013,0.016300000000000012
0.418,-0.02699999999999997,0.0013,-0.02569999999999997
0.419,-0.014999999999999958,0.0013,-0.013699999999999959
0.42,-0.02999999999999997,0.0013,-0.028699999999999972
0.421,-0.043999999999999984,0.0013,-0.04269999999999998
0.422,-0.05199999999999999,0.0013,-0.05069999999999999
0.423,0.027000000000000024,0.0013,0.028300000000000023
0.424,-0.006000000000000005,0.0013,-0.004700000000000005
0.425,-0.007000000000000006,0.0013,-0.005700000000000006
0.426,0.030000000000000027,0.0013,0.03130000000000003
0.427,-0.04099999999999998,0.0013,-0.03969999999999998
0.428,-0.007000000000000006,0.0013,-0.005700000000000006
0.429,-0.04899999999999999,0.0013,-0.047699999999999985
0.43,-0.025999999999999968,0.0013,-0.02469999999999997
0.431,-0.04199999999999998,0.0013,-0.04069999999999998
0.432,0.007000000000000006,0.0013,0.008300000000000005
0.433,0.03300000000000003,0.0013,0.03430000000000003
0.434,0.014000000000000012,0.0013,0.015300000000000012
0.435,0.027000000000000024,0.0013,0.028300000000000023
0.436,0.02100000000000002,0.0013,0.022300000000000018
0.437,0.009000000000000008,0.0013,0.010300000000000007
0.438,0.018000000000000016,0.0013,0.019300000000000015
0.439,-0.046999999999999986,0.0013,-0.045699999999999984
0.44,-0.03200000000000003,0.0013,-0.03070000000000003
0.441,0.010000000000000009,0.0013,0.011300000000000008
0.442,-0.05199999999999999,0.0013,-0.05069999999999999
0.443,-0.03500000000000003,0.0013,-0.03370000000000003
0.444,0.006000000000000005,0.0013,0.007300000000000005
0.445,-0.03300000000000003,0.0013,-0.03170000000000003
0.446,-0.044999999999999984,0.0013,-0.04369999999999998
0.447,-0.04299999999999998,0.0013,-0.04169999999999998
0.448,-0.013000000000000012,0.0013,-0.011700000000000012
0.449,-0.0020000000000000018,0.0013,-0.0007000000000000018
0.45,-0.04899999999999999,0.0013,-0.047699999999999985
0.451,0.023999999999999966,0.0013,0.025299999999999965
0.452,-0.04200000000000004,0.0013,-0.040700000000000035
0.453,-0.04700000000000004,0.0013,-0.04570000000000004
0.454,-0.05299999999999999,0.0013,-0.05169999999999999
0.455,0.014000000000000012,0.0013,0.015300000000000012
0.456,0.01100000000000001,0.0013,0.012300000000000009
0.457,-0.04700000000000004,0.0013,-0.04570000000000004
0.458,0.02799999999999997,0.0013,0.02929999999999997
0.459,-0.03400000000000003,0.0013,-0.03270000000000003
0.46,0.02899999999999997,0.0013,0.03029999999999997
0.461,-0.03700000000000003,0.0013,-0.03570000000000003
0.462,0.008999999999999952,0.0013,0.010299999999999952
0.463,0.006000000000000005,0.0013,0.007300000000000005
0.464,0.009999999999999953,0.0013,0.011299999999999952
0.465,0.02999999999999997,0.0013,0.031299999999999974
0.466,0.030999999999999972,0.0013,0.032299999999999975
0.467,-0.03200000000000003,0.0013,-0.03070000000000003
0.468,-0.03600000000000003,0.0013,-0.03470000000000003
0.46900000000000003,0.014999999999999958,0.0013,0.016299999999999957
0.47000000000000003,-0.019000000000000017,0.0013,-0.017700000000000018
0.47100000000000003,0.013000000000000012,0.0013,0.01430000000000001
0.47200000000000003,-0.05199999999999999,0.0013,-0.05069999999999999
0.47300000000000003,0.009000000000000008,0.0013,0.010300000000000007
0.47400000000000003,-0.004999999999999949,0.0013,-0.003699999999999949
0.47500000000000003,-0.01799999999999996,0.0013,-0.01669999999999996
0.47600000000000003,-0.024999999999999967,0.0013,-0.023699999999999968
0.47700000000000004,-0.0050000000000000044,0.0013,-0.0037000000000000045
0.47800000000000004,-0.04099999999999998,0.0013,-0.03969999999999998
0.47900000000000004,0.014000000000000012,0.0013,0.015300000000000012
0.48,0.019000000000000017,0.0013,0.020300000000000016
0.481,-0.01699999999999996,0.0013,-0.01569999999999996
0.482,0.01200000000000001,0.0013,0.01330000000000001
0.483,-0.04899999999999999,0.0013,-0.047699999999999985
0.484,-0.05099999999999999,0.0013,-0.04969999999999999
